,Comment,Likes,Time,UserLink,user
616,"No UDC no party  Samsung must think more laterally with sales. It can't be a ''1 phone fits all' strategy. On their site, or in the store, or both they should have 2 sections - 1 selfie lovers and 2 media watchers. The selfie lovers get a hole punch with the best selfie camera possible. The media watchers get a new improved UDC and may not use selfie at all. Come on Samsung, we don't all want a hole punch. Do this for the S24 and also please improve the charging speed to at least 60W.",1,2 months ago,,
617,SAMSUNG GALAXY,0,2 months ago,,
618,Very nice samsung,0,2 months ago,,
619,So basically nothing is new,0,2 months ago,,
620,When 90% of the phones advertisement  focuses on camera so Deep down they all are selling cameras only.,1,2 months ago,,
621,My favourite Mobile Company Samsung galaxy.️️️️,0,1 month ago,,
622,I really want samsung s23 ultra,0,2 months ago,,
623,I love you samsung,0,2 months ago,,
624,Love from INDIA,0,2 months ago,,
625,"WHAT CAN I SAY ABOUT THE SITUATION OF GALAXY MOBILE  ?I HAVE NOTE 20 ULTRA, NOTE 9, NOTE 2, TAB A7",0,2 months ago,,
626,hmmm.....how i want to own one of these but then it will be super expensive .,0,2 months ago,,
627,"So, I can travel to an another planet, through the S23?",0,2 months ago,,
628,"I think I need to sell my kidney to get this fantasy phone, I feel like you brought it from the future،",0,2 months ago,,
629,"I like Samsung introduction filmes like the s10 series... just like apple does... i think its better to show the product than this ""funny"" way",0,2 months ago,,
630,so this is a gaming camera!,0,2 months ago,,
631,Send me luck to get this s23 ultra,1,2 months ago,,
632,There’s nothing new.,0,2 months ago,,
633,Samsung:- The hole Galaxy in your Pocket ️,0,2 months ago,,
634,Okay this is cool,0,2 months ago,,
635,Sure hope you fixed the battery issue,0,2 months ago,,
636,Please add the external memory card...,0,2 months ago,,
637,The Best.,0,2 months ago,,
638,Z fold 4 is best,0,4 days ago,,
639,️️awful introduction,0,2 months ago,,
640,"Wow, such a nice phone , same specs as needed, loving this. Every thing is perfect but a small problem is that I still can,t afford. Samsung plz fix it. it should be around $100. Who agree with me       lol",0,2 months ago (edited),,
641,That means nothing new,0,2 months ago,,
642,My love ️,0,2 months ago,,
643,Literally the worst phone ad ever.,0,2 months ago,,
644,Me watching this with a s23 ultra,0,2 weeks ago,,
645,I am going to buy the  phone next week on Monday,0,2 days ago,,
646,Samsung,0,2 months ago,,
647,Me watching this on my Galaxy s22 ultra,0,2 months ago,,
648,Hey what's actually new?,0,2 months ago,,
649,Mighty ultra ...,0,2 months ago,,
650,Best phone,0,2 months ago,,
651,I hope to stop using apple   this one is gonna be super.,0,2 months ago,,
652,Not the pen... there is a reason why no phone has that anymore for like 15 years,1,2 months ago,,
653,"I don't understand why you decreased the selfie camera from 40MP to 12MP. It is probably cost effective, so all S23 have the same selfie camera but still... So much money for the ultra and you downgrade the hardware? Why can't you improve the selfie camera in hardware and software like you did with the rear camera?",0,2 months ago,,
654,They should add a built in screen recorder like apple what do you guys think,0,2 months ago,,
655,Honestly I’m making the switch back to Samsung from Apple.  I’m coming home baby!,0,2 months ago,,
656,Nice,0,2 months ago,,
657,Best mobile in the world,0,1 month ago,,
658,When apple asked what's new from 14 pro max,0,2 months ago,,
659,I booking advance now,1,2 months ago,,
660,"Astrography, Nightography and most importantly expensography",0,2 months ago,,
661,I want to buy it... But I don't know price... How much?,0,2 months ago,,
662,S22 ultra worth for price,0,2 months ago,,
663,"when he  said that was epic ,i remembered juan from that was epic channel on youtube",0,2 months ago,,
664,"Finally after my note 9 did its best, i found a reasonable device to upgrade to.",0,2 months ago,,
665,Best device for best of people's,0,2 months ago,,
666,I love big screen phone best for gaming,0,2 months ago,,
667,"I bought it, it comes without a recharger. Really?? For this price you couldn't include a recharger? And you had to make it out of the standard? This would've been a deal breaker for me had I known.",1,2 months ago,,
668,Nice and more expensive than the iPhone 14,0,3 weeks ago,,
669,"every year its has the most powerful processor,, what is the most powerful powerful processor",0,2 months ago,,
670,Only the name is new...same old same old,1,2 months ago,,
671,Whats new: nothing just some Apple stuff,0,2 months ago,,
672,"Samsung use to tell this time ""what is new"".The product fails to create newness on its own.",0,2 months ago,,
673,I'm currently using note 10 plus and I don't think I must upgrade,0,2 months ago,,
674,Grateful with my samsung A 32,0,2 months ago,,
675,"Dont know about the phone, this commercial makes me to buy it",0,2 months ago,,
676,My s23 ultra Internet coverage is unstable inside building. While my Note 20 works fine. Both using same carrier  service,0,2 weeks ago,,
677,"Same same nothing new just the number 3, but I will definitely buy this phone than any other chinese brand phones",0,2 months ago,,
678,I like samsung s21 ultra curved  shapeBut don't like s23 ultra box type shapeThat's only I see in this problem,0,6 days ago,,
679,Hi samsung.I have use now sm A52s but problem is here's not work auto call recording option.i need to solve this.,0,2 months ago,,
680,GALAXY S9 HAS THE BEST PRODUCT VIDEO,0,2 months ago,,
681,Very very nice video,0,2 months ago,,
682,Is it like really in this video when it comes to full screen and 200mp pictures? I just find a 200mp mode for 4:3 in the camera menu,0,2 months ago,,
683,best advertisement️,0,2 months ago,,
684,ok this was pretty fun.,0,1 month ago,,
685,It needs to be called the note,0,2 months ago,,
686,Didn't meet my expectations,0,2 months ago,,
687,This is crazy,1,2 months ago,,
688,Can I buy it with my HDFC credit card on Samsung official website with emi ?,1,2 months ago,,
689,I love best samsung,0,2 months ago,,
690,Wow,0,3 weeks ago,,
691,Can you send me that ?   Becomes legendary,0,2 months ago (edited),,
692,"Good a commercial that finally doesn’t poke fun at iPhones, Samsung has really matured now..",1,2 months ago,,
693,Oh !so nothing new,0,2 months ago,,
694,Samsung Lover,0,2 months ago,,
695,Can't afford to buy such a high price mobile.. A kind person can give a gift,0,2 months ago,,
696,Exactly what's new same as before,0,2 months ago,,
697,Thank you Samsung,0,2 months ago,,
698,Mine is on its way i already have otter box sitting at home waiting it wont be out till 17th dang it i want that external battery too but havent invented yet so hurry up samsung so i csn order that too that extra battery  life is a must but ive seen videos that this ultra lasts days but i want massive battery i have that external for my galaxy note 5 and it saves me so much time in having to worry about charging,0,2 months ago,,
699,Super super nice video bro,0,2 months ago,,
700,Watching this in a iPhone 12 Pro Max,1,2 months ago,,
701,Can someone tell me the name of fonts used in this video and also used in every video from samsung. Please someone tell me these fonts name.,0,2 months ago,,
702,Samsung!!!I own a Samsung mobile phone for 7 years and it still works. I use a second phone,0,2 months ago,,
703,boring to me,0,2 months ago,,
704,Does the ultra have anything like the apple fitness app. i use the cycling every day on apple but would like to switch to android,1,2 months ago,,
705,I swear all samsung cares about is the camera now,0,2 months ago,,
706,Nice phone but hardly any new features,0,2 months ago,,
707,Very disappointed with thr design,0,2 months ago,,
708,Best camera phone 2023,0,2 months ago,,
709,samsung When are we going to get new tablets,0,2 months ago,,
710,“Can you send me that”,0,2 months ago,,
711,How bout the battery??,0,2 months ago,,
712,Samsung,0,2 months ago,,
713,My favourite mobile but i can't buy it,0,2 months ago,,
714,Yeah. Nothings new!,0,2 months ago,,
715,"so... nothing new!

i am disappointed.",0,2 months ago,,
716,The best SAMSUNG ELECTRÓNICS USA,1,2 months ago,,
717,Impressed,0,1 month ago,,
718,Same phone as S22 ultra,0,1 month ago,,
719,I wish I could so easily get in touch with a girl,2,2 months ago,,
720,Nothing new,0,2 months ago,,
721,Watching this on s23 ultra,0,2 months ago,,
722,Video selfie nya bisa 1080 60fps dan ada ios dan gyro nya ga ya?,0,2 months ago,,
723,Best price in india 80k to 90kWith charger adapter and card cash back they sell double the sale increase the market share also and overall profit alsoThank you,0,2 months ago,,
724,King king king ️,0,2 months ago,,
725,boring same design though,0,2 months ago,,
726,Man I’m gonna buy one and start vlogging,0,1 month ago,,
727,"Im samsung member since note 2 until fold and  s 20 ultra..think i change to xiaomi and sell almost all my samsunb gadget1.  want weight weight like samsung s23 no more than 175g ( because heavy make finger easy tired)2. But battery must 4300 up3. Fast changer must 45
I can not find in any s series of samsungCompare go xiaomi 13(pro is heavy too that why i dont want)Light weightFast charger 67And battery 4500
Even is samsung s 24 next have camera like ultra the price more than 18500 usd i will buy..But must light weight..fast charging 45And battery 4300 up
Hope samsung one day havr speck like thatTq",1,2 months ago,,
728,The beast is coming,1,2 months ago,,
729,Pro raw expert plus ultimate ultra ……..,0,2 months ago,,
730,A camera with a little bit of phone in it,0,2 months ago,,
731,"Save you some minutesAll they talk about is the processor, the materials that made the phone, and the camera",1,2 months ago,,
732,"Should I go for S23 ultra or A73 5g
Please suggest..???",0,1 month ago,,
733,The beast is here,0,2 months ago,,
734,The lion is here. ..I have to own one,0,3 weeks ago,,
735,Hey. I just updated to oneui5 and my battery is dying real fast. When yall gonna fix this?,0,2 months ago (edited),,
736,"We have been using Samsung for a long time.  This time, it would be good if smart phones have good quality for night photos.  Because the night vision filters of the Samsung camera are not as good as the night vision of the iPhone.  As Samsung smartphone customers, we are very sad",0,2 months ago,,
737,I didnt care about s23... until I saw an ad with Changbin <3,0,2 months ago,,
738,"I have samsung  note 9Every time I do software update the screen turns yellowish , which was the case with most of the note 9 devices . Last time it happened I had to use my sisters verified account to tweet and get it repaired  . (Which was a long procedure for something that I didn't even do )Cause even after agreeing of this issue from their end,  Samsung yet deny for the repair .Now its happened again . And I dont know what to do .  Not a happy customer .",0,2 months ago,,
739,I WANT THIS FOR INDIAN PRICE ????????,0,2 months ago,,
740,same phone as 21 ultra with stylus - s22 ultra owner,0,2 months ago,,
741,legit scary,0,2 months ago,,
742,"This video pumps me up!! SAMSUNG, the best phone make(among other things) in the world",0,4 weeks ago,,
743,"well this video hit me hard, i was a samsung user for years before turned to iphone, after 5 years using my iphone i think this is the time to switch back to samsung, really, iphone is boring,. Samsung, here i come",0,2 months ago,,
744,Everything that Pixel has without a S Pen,0,2 months ago,,
745,"I can watch Aisa on YouTube, that's a lot, S23 ultra for the poor, someone can give it as a gift",0,2 months ago,,
746,"I feel like am untop of the world. Mt Samsung, my super power",0,2 months ago,,
747,Gimme one for free,0,2 months ago,,
748,"It's strange to watch a video that shows a phone under sea water)3 days ago, my S21 ultra could not stand 2 minutes under water, and the water flowed inside and the phone became unusable, and people are swimming nearby with iPhones and they are doing well with the same degree of protection as the SamsungSamsung support said that you can't use your phone in sea waterWhat about this model, still can not be used with water?",0,2 months ago,,
749,Where is the brighter display like iphone 14 pro? Its only 1750 nits.,0,2 months ago,,
750,Nothing new just the price is new.,0,2 months ago,,
751,"Nothing new
Samsung is a big trickster",0,2 months ago,,
752,Just wow,1,2 months ago,,
753,"I like the mobile phone, but I can't afford it, thank you",0,2 months ago,,
754,Nice video,0,2 months ago,,
755,Nah,0,2 months ago,,
756,"I absolutely loathe commercials, this one wasn't bad at all. Way to go Samsung...",0,2 months ago,,
757,My Infinix 2 years old is working in this year,0,1 month ago,,
758,"It's a good camera but it overheated.. the S23 needs to be replaced, said the seller at SM Mall, so I'm really disappointed. However, Samsung released a lot of Branded products and then the Note Series, Samsung Note10 to 20 Series collapsed.  ' Strongest Cellphone, doesn't overheat../compared to the new Samsungs that overheat now, since Compisca, Samsung has changed the Note Series because other Brands that are its partner are at a loss.",0,2 months ago,,
759,I feel like the guy just wanted to say hi and move on with his day...,0,2 months ago,,
760,S23Ultra and 23M views,1,4 weeks ago,,
761,"Me: Fantastic phone, now let's talk about the price.Samsung: it's just a few bucksMe: how muchSamsung: Well, you know the priceMe: echo",0,2 months ago,,
762,5000mah but still can’t beat i phone,0,2 months ago,,
763,"Good job Samsung, but you can't beat Pixel's ASTROPHOTOGRAPHY!",0,2 months ago,,
764,Most powerful processor Laughs in Bionic.,0,2 months ago,,
765,MY used Samsung s23 Ultra.,0,2 months ago,,
766,Basically everything is same,0,2 months ago,,
767,wow its amazing,0,2 months ago,,
768,Waiting for Iphone 15,1,2 months ago,,
769,"I love you Samsung s23 ultra️️️️️️️️️. Features outstanding, design to good . Bat .",0,2 months ago,,
770,Finally everyone can play Nintendo Switch and PlayStation 2 games at High Graphics on Galaxy S23 Ultra,0,2 months ago,,
771,But I like iPhone 14 pro Max,1,2 months ago (edited),,
772,We are here to just watch trailer,0,2 months ago,,
773,"""Can you send me that""",0,2 months ago,,
774,cringe tho,0,2 months ago,,
775,Does this phone have aptx adaptive and/or aptx lossless?,0,2 months ago,,
776,I want it i dont get it... i want it i dont get it..,0,2 months ago,,
777,Any That was epic fans,0,2 months ago,,
778,These days phones just sell cameras to us,0,2 months ago,,
779,Wow,1,2 months ago,,
780,"Samsung is still 2 years away from apple, I mean when it comes to performance",0,2 months ago,,
781,This video looks like a school project!,0,2 months ago,,
782,Please bring back SD CARD PHONES in the future. That was 1 of my favorite features,0,2 months ago,,
783,I'm disappointed. Where's the part where you target apple?,0,1 month ago,,
784,Very lame ad.,0,2 months ago,,
785,Wow it's better than Apple,1,2 months ago,,
786,Its call true tone,0,2 months ago,,
787,I want this phone before i want,0,1 month ago,,
788,It's all fun in games when they are still making fun of iphone for having the same design every year,1,2 months ago,,
789,Is this a S23 ultra cameras ad or S23 ultra phone ad!!!!….all they showed is upgraded camera features,1,2 months ago,,
790,Wow,0,2 months ago,,
791,Hopefully it beats the iPhone 14's camera,1,2 months ago,,
792,Lol like a same design. Boring,0,2 months ago,,
793,Good promo with inadequate resolution. Who limits video to just 1080p this days!!!,0,2 months ago,,
794,Nothing special,0,2 months ago,,
795,I'm watching sumsung phone ad on one plus,0,2 months ago,,
796,I wish that this Samsung battery is very long lasting,0,2 months ago,,
797,What a cheap ad!,1,2 months ago,,
798,Nice,0,2 months ago,,
799,if cringe marketing were a YouTube video,0,2 months ago,,
800,i like samsung,1,2 months ago,,
801,"Dumbest commercial ever, my God! That was painful to watch",1,2 months ago,,
802,I love my Google Pixel 7 Pro,0,2 months ago,,
803,Watching from Galaxy S8+ user,0,2 months ago,,
804,"Cool and all but they bragged how fast the 22 ultra was and this is my 4th replacement thru T-Mobile. Lags, gets hot, charges slow when hot or says stopped due to device heating, can't use the camera when it's hot, just overall this thing picks and chooses when to work. And the battery picks and chooses when to last or die fast as ever. Dropped 30% in just 30 minutes is quite ridiculous",0,2 months ago,,
805,"Wait for the upcoming Huawei, i think your waiting will be worth it",0,2 months ago,,
806,If premium and mid-bugged look similar why should I buy the premium? In the place ( i and you ) are different.,0,2 months ago,,
807,200MP,0,2 months ago,,
808,Nice,0,7 days ago,,
809,I have been using S22 ultra and I see nothing new  in s23 ultra..,0,2 months ago,,
810,"samsung just stick to one phone for atleast 2 years , every year we regret we should've bought upcoming galaxy device",1,2 months ago,,
811,I fall in love with thus mastet piece,0,2 months ago,,
812,Bring S pen in budget like (Note 10 Lite at least in India).  Nowadays even iPhone coming in budget. Who all Agree️️,0,2 months ago (edited),,
813,Nothing's new but nice marketing,1,2 months ago (edited),,
814,Boring,0,2 months ago,,
815,Samsung is always amazing,0,2 months ago,,
816,But i phone is dream for everyone,0,2 weeks ago,,
817,"Whatever they produce, after 2 years you have to visit service center to change display and they will charge 1/2 of the original phone price. Enjoy",0,2 months ago,,
818,I would hate to drop this phone on the floor,0,2 months ago,,
819,My Phone Is Samsung  A10s,1,2 months ago,,
